stable_sample_id,label,split
0001fba77fc505f5,2,train
00021929e2e26747,5,train
0003a357ada71b39,0,test
000e77f2fb4fca16,2,train
000fb66d23c8fd10,3,train
0011caef65328221,6,train
00122dfc9299e231,0,train
001990e29fc0e3ac,3,test
001c1a824d327bd3,5,train
0020e126190f240a,2,test
002fda88fa9ac02e,9,train
00372fef07935acd,9,test
00375c79dd5a7c53,8,test
0038ea7745d3ca92,1,test
003f766ee37f82ba,8,train
00400400923fb99c,5,train
0043ab6e8f0160c0,3,test
00452bbcfe5f9d9c,3,train
00457d4d9920c701,1,test
004951e0e792abdf,4,train
004bb6c7ef7ef2b9,5,val
0052630e9fba0f6a,4,train
0055b9c9bb601a4f,6,test
0056b6941337fc79,1,train
005b5ddd0f29f418,6,train
00603a15ccc3b12b,7,train
006075cb6369e3db,7,train
0062594c96244e6e,8,train
0065fd0d6b8f2c0c,9,val
006cc2327f184c57,3,train
007366b660b42ea7,5,test
00742f239ca6e39a,8,test
00769961227d9ebf,0,test
0077c2f9b20ca133,9,train
00799971acce49c1,2,train
008939f1386bd087,5,val
0091a4cdbae439eb,8,test
0091c91b22b5df36,7,train
00a4ceb42750dc85,3,test
00a4ef1b0486d050,4,train
00a65ffc6c1e1c17,9,train
00a82df8bf3a71cb,7,train
00b0dfc9f344cf5d,1,train
00b38ce67afce164,6,train
00b8d522f69a962d,9,test
00b928234a97365b,7,test
00bdd45b7122d281,4,train
00c2b99dc2bacd30,5,train
00c4a9ca9f5695ac,5,train
00cea0b729dcf3de,8,train
00cedcbb25daa039,4,test
00d873243ac857f3,4,train
00dff5bd1a857f1c,3,train
00e28e21124c8e3c,1,train
00e7318934e507c3,1,train
00e8c81edd9a194c,7,train
00f2aa40e6a36cb0,3,train
00f9712c8a984786,0,val
00ff04edefbf96ca,7,train
0105a8f0da1150f8,5,train
010d20976550bfa0,7,test
01104d18d1a85f99,5,train
0110a6d206a94a3d,7,test
011a07c24a1c3b1d,5,train
011a7bf50b6797e5,6,train
