stable_sample_id,label,split
00031a5c9aa914c4,4,test
000c333abaffdbc1,9,test
000e7b28d5bdcd60,9,train
000e7bd35beda28a,8,train
001d89b6eeb04c01,4,train
001e07a3f9fca565,5,test
001e19f1a6058533,0,test
001e52f6aa8a4c80,1,train
001ef8de8f5f7c2a,8,train
0028ab5872810569,6,test
002be0baff865145,7,train
00329a2c9a855735,3,test
003793f74133fe44,8,test
003a56380278d052,4,train
003aa51fa3c202f5,1,train
003e709646aaa05f,1,test
004869cf054bd8cd,4,test
004b77dc750d38c2,5,train
005357780357a2dd,6,test
0058a4d6a5eef216,5,test
005cf0114c1f0504,9,test
005cfe8b93cae8b2,1,test
00689af543a055c3,7,train
006fcae76e2ccdb7,9,test
007d5a8b3a630bcc,2,test
008779b524535b6c,8,test
008bac7e94c160ff,9,train
008dea503862af7e,6,test
008f09a6c3c613a3,0,train
00936b9e21f4ece9,0,val
009a183371d2cd7b,9,test
00a293241d513d69,0,train
00a6219edaff6760,1,train
00a65b370d6650ab,7,train
00af9bc6455673d8,9,train
00b5f605d4894bac,8,test
00be0b8e9a89bb91,2,train
00c0e0bf74d9fa67,1,train
00c191746eea53bd,4,test
00c1b5f19ece11a1,2,train
00c91b9479362f2a,7,test
00cb5209316f591f,3,train
00cb6dcaeded31c2,9,train
00cd973512997ba8,0,val
00d68a4a487b0dff,0,train
00dd753f9e00b43e,0,train
00e307437b37b74b,4,test
00e5ba331ea69e8a,2,test
00e9ab5798ea7b13,5,test
00ea1494f391ca83,5,test
00ef6ffd9564364d,1,train
00f60aa8986665ee,0,test
00f6d4ca427b4a39,2,test
00f7c1f827ea6818,5,train
00f7e708a38b645c,5,test
00faf7945fda7bf2,0,train
00fd13cb069aa4b3,9,train
0101e8c7caa3234b,6,train
01022e97fe017cac,3,test
010b08a53cf84651,8,train
01120fbf4525015c,7,test
01142fa78366d5da,6,test
011e6eb050f58abd,0,test
0125409fa453c95b,9,train
0127107618a4be5c,7,test
012b8060d387307d,3,train
0131ddf60eb86596,6,test
013298cb59627200,5,train
0135e15e66205e01,0,train
0139060e3e26b4fb,1,test
01427b618c5ea6af,7,train
014eb19db2e09f07,0,test
014edd12038c5d3d,9,test
0153a182f1eca38b,2,test
01545c265232d43a,3,test
0159034dd16913ec,2,train
015cfe2f5bd46903,7,test
015ff3dab4611715,4,test
016118860900df88,0,train
01622e0cf36d609a,2,test
0164ea83c64d686a,2,train
016ba7d88910935e,0,test
016c39b49b951e86,3,train
016dd9f84d8eb995,0,test
0174c3ee42c5f4f6,5,test
0174cab2a54bbf70,7,test
0175e1de1bea36f0,9,train
01763174239769f0,4,test
017e138203029ba4,7,test
017ec62b8b50259e,7,train
019116586117075d,0,test
0193ca60733e1bda,0,train
0195805b8ebe4053,3,test
019ae91610949467,2,train
019ec3ef825039e6,0,test
01a2e40e92f7576e,2,test
01a6297c7d605785,8,val
01adc191dfa7b09d,8,test
01ae1b2a02958ab1,8,test
01b1ee5feb5cacf8,4,train
01b8dab074d708a9,6,test
01ca2c70b38d64a9,0,test
01d6d913c4569bec,6,test
01d75bf109ca24e5,6,test
01d79b67711614c5,0,test
01e5e32810ef228b,1,test
01e70d0d7275558e,9,test
01ed96cc13979762,9,train
020207e500f7598c,1,test
0208ec5f52a3ebcd,3,train
0211a6b3c2884cf1,2,train
021f97a0d6314dc6,6,test
0224ec227ee95b66,0,test
02255cd8ae97c25c,7,test
0225d1e79e86aad7,9,train
022612b6631c3834,7,test
02280bbb0c46d79b,0,val
022effd9f2d8da23,2,test
023136c6e776f2d4,8,test
023313e99e9c22c0,2,test
0237e7bba8e5d49b,6,test
023974962436eaa7,0,test
023cff26b677e2c9,0,test
024dcad082ad02a6,9,test
0255c3fd7e05627c,3,test
025c78794e3e9c39,4,train
0264e8e3920bb5ce,8,train
026be7030b001941,2,test
026d489cd0dedcdb,6,train
026e0bbe0464b68d,2,test
02797bb0d7b7c254,6,test
0288afa4efebeba9,1,train
028ad70e5202552e,2,test
028d7e55e5b3de0e,2,train
02939686b22f7395,8,train
029a72d54b3a88f3,4,test
029feaf592eed807,5,train
02b06b6631762fc3,1,train
02b12ba7da1217dc,4,test
02b7db9318985e7e,9,test
02b8e8bae05bf090,1,test
02bcebf80fbfd4a3,2,train
02c217bfa075e8e6,4,test
02c35aff296de219,5,test
02c3f8fa5f8ad3a2,8,test
02c478bdd18193ba,4,train
02c76cfd73f7891e,8,val
