system,modulation,q_m,ebn0_db,esn0_db,blocks,information_bits,bit_errors,block_errors,ber,bler,bler_wilson_low,bler_wilson_high,wall_time_s_shared_realisation,k,n,base_graph,lifting_size,rate,decoder,offset,iterations,device
reference,bpsk,1,1.5,-1.510299956639812,5000,640000,21863,1170,0.0341609375,0.234,0.22247187439551752,0.24593654303925294,3.820635878997564,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,bpsk,1,1.5,-1.510299956639812,5000,640000,21936,1170,0.034275,0.234,0.22247187439551752,0.24593654303925294,3.820635878997564,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,bpsk,1,2.0,-1.010299956639812,5000,640000,5849,330,0.0091390625,0.066,0.05944585882604755,0.07322050646226204,3.644476825000311,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,bpsk,1,2.0,-1.010299956639812,5000,640000,5886,330,0.009196875,0.066,0.05944585882604755,0.07322050646226204,3.644476825000311,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,bpsk,1,2.5,-0.5102999566398121,5000,640000,1358,73,0.002121875,0.0146,0.011628443441836712,0.018316841606424748,3.6609762430016417,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,bpsk,1,2.5,-0.5102999566398121,5000,640000,1414,73,0.002209375,0.0146,0.011628443441836712,0.018316841606424748,3.6609762430016417,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,bpsk,1,2.75,-0.2602999566398121,5000,640000,288,18,0.00045,0.0036,0.002278440754413016,0.005683733736639697,3.7183227380010067,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,bpsk,1,2.75,-0.2602999566398121,5000,640000,308,18,0.00048125,0.0036,0.002278440754413016,0.005683733736639697,3.7183227380010067,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,qpsk,2,1.5,1.5,5000,640000,21726,1161,0.033946875,0.2322,0.2207047104349366,0.244106470726836,3.6299570339979255,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,qpsk,2,1.5,1.5,5000,640000,21680,1162,0.033875,0.2324,0.22090104732531712,0.24430982675567747,3.6299570339979255,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,qpsk,2,2.0,2.0,5000,640000,6272,353,0.0098,0.0706,0.06382458792359247,0.07803471450682259,3.7010994800002663,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,qpsk,2,2.0,2.0,5000,640000,6258,354,0.009778125,0.0708,0.06401517037352826,0.07824382497610878,3.7010994800002663,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,qpsk,2,2.5,2.5,5000,640000,950,55,0.001484375,0.011,0.008461172335733189,0.014289640166532681,3.747630650999781,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,qpsk,2,2.5,2.5,5000,640000,948,56,0.00148125,0.0112,0.00863539287572245,0.014515112545765397,3.747630650999781,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,qpsk,2,2.75,2.75,5000,640000,311,18,0.0004859375,0.0036,0.002278440754413016,0.005683733736639697,3.7086579450042336,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,qpsk,2,2.75,2.75,5000,640000,319,18,0.0004984375,0.0036,0.002278440754413016,0.005683733736639697,3.7086579450042336,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,qam16,4,4.0,7.0102999566398125,5000,640000,7953,650,0.0124265625,0.13,0.12096161579771678,0.13960648364162556,3.8199023319975822,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,qam16,4,4.0,7.0102999566398125,5000,640000,7944,650,0.0124125,0.13,0.12096161579771678,0.13960648364162556,3.8199023319975822,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,qam16,4,4.5,7.5102999566398125,5000,640000,2005,179,0.0031328125,0.0358,0.03099625002291001,0.041316484462881026,3.7719494749981095,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,qam16,4,4.5,7.5102999566398125,5000,640000,2002,179,0.003128125,0.0358,0.03099625002291001,0.041316484462881026,3.7719494749981095,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,qam16,4,5.0,8.010299956639813,5000,640000,380,34,0.00059375,0.0068,0.0048703334305700095,0.009486927768034338,3.7663546719995793,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,qam16,4,5.0,8.010299956639813,5000,640000,379,34,0.0005921875,0.0068,0.0048703334305700095,0.009486927768034338,3.7663546719995793,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
reference,qam16,4,5.25,8.260299956639813,5000,640000,146,15,0.000228125,0.003,0.0018189297776376758,0.004944165955749106,3.7480605489981826,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
sionna,qam16,4,5.25,8.260299956639813,5000,640000,140,15,0.00021875,0.003,0.0018189297776376758,0.004944165955749106,3.7480605489981826,128,256,2,22,0.5,offset_min_sum,0.5,50,cuda
