budget_bytes,requested_bpp,budget_source,encode_axis,n_correct,n_total,top1_accuracy,accuracy_difference_from_clean,mean_emitted_bytes,median_emitted_bytes,maximum_emitted_bytes,mean_realized_bpp,infeasible_count,decode_failure_count,mean_psnr,mean_ssim,selected_point_estimate
663,0.2071875,packetisation:qam16:5/6:r_1_48,160,747,1000,0.747,-0.15100000000000002,651.28099999999995,655,663,0.20352531249999997,0,0,23.615449116863136,0.64980277899794781,false
663,0.2071875,packetisation:qam16:5/6:r_1_48,128,772,1000,0.77200000000000002,-0.126,651.12400000000002,653,663,0.20347625,0,0,23.475222437736431,0.64269743070412833,false
663,0.2071875,packetisation:qam16:5/6:r_1_48,96,774,1000,0.77400000000000002,-0.124,652.48400000000004,656,663,0.20390125000000001,0,0,23.285311743051032,0.6341068441252965,true
663,0.2071875,packetisation:qam16:5/6:r_1_48,64,715,1000,0.71499999999999997,-0.18300000000000005,653.65300000000002,657,663,0.2042665625,0,0,22.890569808492845,0.61610193013777548,false
800,0.25,direct_bpp:0.25,160,795,1000,0.79500000000000004,-0.10299999999999998,784.59299999999996,789,800,0.2451853125,0,0,24.471580758072591,0.68699073761763063,false
800,0.25,direct_bpp:0.25,128,803,1000,0.80300000000000005,-0.094999999999999973,785.21600000000001,789,800,0.24538000000000001,0,0,24.263231149679331,0.67923507175148934,false
800,0.25,direct_bpp:0.25,96,806,1000,0.80600000000000005,-0.091999999999999971,787.18799999999999,791,800,0.24599625000000003,0,0,24.044675904091623,0.66941069621113825,true
800,0.25,direct_bpp:0.25,64,764,1000,0.76400000000000001,-0.13400000000000001,789.202,791.5,800,0.24662562500000001,0,0,23.496241679758555,0.64924684792007481,false
1330,0.41562500000000002,packetisation:qam16:5/6:r_1_24,160,848,1000,0.84799999999999998,-0.050000000000000044,1310.4870000000001,1319,1330,0.4095271875,0,0,26.972996999520007,0.7792863911555884,false
1330,0.41562500000000002,packetisation:qam16:5/6:r_1_24,128,870,1000,0.87,-0.028000000000000025,1307.694,1317,1330,0.40865437500000001,0,0,26.399056058149494,0.76672616881933819,true
1330,0.41562500000000002,packetisation:qam16:5/6:r_1_24,96,849,1000,0.84899999999999998,-0.049000000000000044,1310.8630000000001,1319,1330,0.40964468750000005,0,0,25.920428147202074,0.75642294186596748,false
1330,0.41562500000000002,packetisation:qam16:5/6:r_1_24,64,802,1000,0.80200000000000005,-0.095999999999999974,1313.598,1319,1330,0.410499375,0,0,24.623136771972646,0.71872978992020797,false
1600,0.5,direct_bpp:0.50,160,857,1000,0.85699999999999998,-0.041000000000000036,1576.1980000000001,1585,1600,0.49256187499999998,0,0,27.979322053761763,0.80953353393968885,false
1600,0.5,direct_bpp:0.50,128,869,1000,0.86899999999999999,-0.029000000000000026,1574.501,1585,1600,0.49203156250000002,0,0,27.173123131781132,0.79539781763188444,true
1600,0.5,direct_bpp:0.50,96,859,1000,0.85899999999999999,-0.039000000000000035,1577.057,1586,1600,0.49283031249999998,0,0,26.475951676712228,0.78316021152961512,false
1600,0.5,direct_bpp:0.50,64,818,1000,0.81799999999999995,-0.080000000000000071,1582.585,1587,1600,0.49455781250000003,0,0,24.870750565749578,0.73661893141161927,false
2400,0.75,direct_bpp:0.75,160,883,1000,0.88300000000000001,-0.015000000000000013,2367.8510000000001,2383,2400,0.73995343750000009,0,0,30.482587471566365,0.87002338672781931,true
2400,0.75,direct_bpp:0.75,128,876,1000,0.876,-0.02200000000000002,2362.4450000000002,2381,2400,0.73826406249999987,0,0,28.659129557545903,0.8500965076023167,false
2400,0.75,direct_bpp:0.75,96,869,1000,0.86899999999999999,-0.029000000000000026,2367.9209999999998,2384,2400,0.73997531249999993,0,0,27.416223952880774,0.83056049509825824,false
2400,0.75,direct_bpp:0.75,64,829,1000,0.82899999999999996,-0.069000000000000061,2370.203,2388,2400,0.74068843750000002,0,0,25.169210415925644,0.76152506296385225,false
2661,0.83156249999999998,packetisation:qam16:5/6:r_1_12,160,884,1000,0.88400000000000001,-0.014000000000000012,2627.3420000000001,2643,2661,0.82104437499999994,0,0,31.193504231457656,0.88392956972040271,true
2661,0.83156249999999998,packetisation:qam16:5/6:r_1_12,128,882,1000,0.88200000000000001,-0.016000000000000014,2621.6109999999999,2642,2661,0.81925343750000001,0,0,28.990421615557949,0.86208485726841311,false
2661,0.83156249999999998,packetisation:qam16:5/6:r_1_12,96,871,1000,0.871,-0.027000000000000024,2627.1060000000002,2645,2661,0.82097062499999995,0,0,27.591423977930862,0.84002962252982794,false
2661,0.83156249999999998,packetisation:qam16:5/6:r_1_12,64,828,1000,0.82799999999999996,-0.070000000000000062,2622.4070000000002,2648,2661,0.81950218750000003,0,0,25.206010573218919,0.76504406255241275,false
3200,1,direct_bpp:1.00,160,886,1000,0.88600000000000001,-0.012000000000000011,3160.9200000000001,3181,3200,0.98778750000000004,0,0,32.545022929050134,0.90690553289616804,true
3200,1,direct_bpp:1.00,128,878,1000,0.878,-0.020000000000000018,3153.5839999999998,3178,3200,0.98549500000000001,0,0,29.521574616167133,0.88115052230322444,false
3200,1,direct_bpp:1.00,96,880,1000,0.88,-0.018000000000000016,3158.8440000000001,3181.5,3200,0.98713875000000006,0,0,27.84210949801319,0.85402787323649554,false
3200,1,direct_bpp:1.00,64,826,1000,0.82599999999999996,-0.072000000000000064,3115.1840000000002,3184,3200,0.973495,0,0,25.248818438745463,0.76959687611694472,false
4000,1.25,direct_bpp:1.25,160,891,1000,0.89100000000000001,-0.0070000000000000062,3955.1260000000002,3978,4000,1.235976875,0,0,34.350653407302218,0.93117474329521888,true
4000,1.25,direct_bpp:1.25,128,886,1000,0.88600000000000001,-0.012000000000000011,3941.1039999999998,3972.5,4000,1.2315949999999998,0,0,30.039409053134548,0.89978702384541087,false
4000,1.25,direct_bpp:1.25,96,878,1000,0.878,-0.020000000000000018,3942.7080000000001,3979,4000,1.2320962500000001,0,0,28.045970330551913,0.86648513582389519,false
4000,1.25,direct_bpp:1.25,64,825,1000,0.82499999999999996,-0.073000000000000065,3731.7950000000001,3971,4000,1.1661859374999999,0,0,25.272281075161715,0.77230493618189922,false
4800,1.5,direct_bpp:1.50,160,894,1000,0.89400000000000002,-0.0040000000000000036,4752.1379999999999,4776.5,4800,1.485043125,0,0,35.977487224046826,0.94826538311533981,true
4800,1.5,direct_bpp:1.50,128,888,1000,0.88800000000000001,-0.010000000000000009,4724.317,4769,4800,1.4763490625,0,0,30.36627487127388,0.91165623004559515,false
4800,1.5,direct_bpp:1.50,96,884,1000,0.88400000000000001,-0.014000000000000012,4712.5450000000001,4778,4800,1.4726703125000002,0,0,28.145660014570851,0.87307137445551486,false
4800,1.5,direct_bpp:1.50,64,825,1000,0.82499999999999996,-0.073000000000000065,4137.8890000000001,4388,4800,1.2930903124999999,0,0,25.279060722096926,0.77318542456606665,false
5328,1.665,packetisation:qam16:5/6:r_1_6,160,897,1000,0.89700000000000002,-0.0010000000000000009,5275.3760000000002,5302,5328,1.6485549999999998,0,0,36.973935095145286,0.95682836167040097,true
5328,1.665,packetisation:qam16:5/6:r_1_6,128,888,1000,0.88800000000000001,-0.010000000000000009,5244.6319999999996,5294,5328,1.6389474999999998,0,0,30.515393398871858,0.91731923262858395,false
5328,1.665,packetisation:qam16:5/6:r_1_6,96,883,1000,0.88300000000000001,-0.015000000000000013,5196.3400000000001,5302,5328,1.6238562499999998,0,0,28.182105713236087,0.87561699534760118,false
5328,1.665,packetisation:qam16:5/6:r_1_6,64,825,1000,0.82499999999999996,-0.073000000000000065,4271.402,4388,5328,1.3348131249999999,0,0,25.280126909823771,0.77332515816158853,false
5344,1.6699999999999999,direct_bpp:1.67,160,897,1000,0.89700000000000002,-0.0010000000000000009,5291.2780000000002,5317,5344,1.6535243749999999,0,0,37.003669938675642,0.95706994114569188,true
5344,1.6699999999999999,direct_bpp:1.67,128,888,1000,0.88800000000000001,-0.010000000000000009,5262.9290000000001,5312.5,5344,1.6446653124999999,0,0,30.520067809995517,0.9175216769260367,false
5344,1.6699999999999999,direct_bpp:1.67,96,883,1000,0.88300000000000001,-0.015000000000000013,5210.6049999999996,5317,5344,1.6283140625000001,0,0,28.183089536442871,0.87569025448523985,false
5344,1.6699999999999999,direct_bpp:1.67,64,826,1000,0.82599999999999996,-0.072000000000000064,4273.5309999999999,4388,5344,1.3354784374999999,0,0,25.280139064593367,0.77332689591673776,false
6400,2,direct_bpp:2.00,160,895,1000,0.89500000000000002,-0.0030000000000000027,6339.3199999999997,6374,6400,1.9810375,0,0,38.85523480782642,0.9697035931397493,true
6400,2,direct_bpp:2.00,128,890,1000,0.89000000000000001,-0.0080000000000000071,6282.4319999999998,6364.5,6400,1.9632600000000002,0,0,30.706625223002565,0.92477155813719103,false
6400,2,direct_bpp:2.00,96,885,1000,0.88500000000000001,-0.013000000000000012,6096.3379999999997,6362,6400,1.9051056250000002,0,0,28.22222950258929,0.87864003043517525,false
6400,2,direct_bpp:2.00,64,825,1000,0.82499999999999996,-0.073000000000000065,4334.6509999999998,4388,6400,1.3545784374999998,0,0,25.28052588888038,0.77338419764912081,false
8000,2.5,direct_bpp:2.50,160,896,1000,0.89600000000000002,-0.0020000000000000018,7914.2659999999996,7973.5,8000,2.4732081250000002,0,0,41.348884079583833,0.98146026212702142,true
8000,2.5,direct_bpp:2.50,128,890,1000,0.89000000000000001,-0.0080000000000000071,7753.5720000000001,7948,8000,2.4229912499999999,0,0,30.847609398428446,0.93064134835262236,false
8000,2.5,direct_bpp:2.50,96,883,1000,0.88300000000000001,-0.015000000000000013,7143.0910000000003,7858.5,8000,2.2322159374999999,0,0,28.242374143004199,0.88026078152568221,false
8000,2.5,direct_bpp:2.50,64,825,1000,0.82499999999999996,-0.073000000000000065,4341.375,4388,7336,1.3566796875,0,0,25.280543551951379,0.77338732847535585,false
9600,3,direct_bpp:3.00,160,899,1000,0.89900000000000002,0.0010000000000000009,9473.9380000000001,9573,9600,2.9606056250000004,0,0,43.535722909732399,0.98829139394184673,true
9600,3,direct_bpp:3.00,128,889,1000,0.88900000000000001,-0.009000000000000008,9073.5239999999994,9533,9600,2.8354762499999997,0,0,30.905394305800627,0.93325410308355494,false
9600,3,direct_bpp:3.00,96,883,1000,0.88300000000000001,-0.015000000000000013,7698.4250000000002,7971.5,9600,2.4057578125000001,0,0,28.246718577148592,0.88063372006453555,false
9600,3,direct_bpp:3.00,64,825,1000,0.82499999999999996,-0.073000000000000065,4341.375,4388,7336,1.3566796875,0,0,25.280543551951379,0.77338732847535585,false
10656,3.3300000000000001,packetisation:qam16:5/6:r_1_3|direct_bpp:3.33,160,898,1000,0.89800000000000002,0,10472.981,10624,10656,3.2728065625,0,0,44.800029768877337,0.99111367964986696,true
10656,3.3300000000000001,packetisation:qam16:5/6:r_1_3|direct_bpp:3.33,128,889,1000,0.88900000000000001,-0.009000000000000008,9823.3240000000005,10540,10656,3.0697887500000003,0,0,30.923515425969541,0.93411042933963251,false
